date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:26	28687/28687	---M-Z	200	added ('OK')	text/html	etag:%224ba1d1a-700f-5572f044a962a-gzip%22	https://www.silverwingtechnologies.com/git/160120116002/	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/index.html	(from )
09:38:28	4240/4240	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jan%202018%2004:08:24%20GMT	https://www.silverwingtechnologies.com/robots.txt		(from )
09:38:29	1925/1925	---M--	200	added ('OK')	text/css	etag:%224d623b9-785-5571f208c8d7f%22	https://www.silverwingtechnologies.com/git/160120116002/assets/css/icomoon.min.css	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/css/icomoon.min.css	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:30	29085/29085	---M--	200	added ('OK')	text/css	etag:%224d623b7-719d-5571f20879bdb%22	https://www.silverwingtechnologies.com/git/160120116002/assets/css/font-awesome.min.css	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/css/font-awesome.min.css	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:30	682/682	---M--	200	added ('OK')	text/css	etag:%224d623c8-2aa-5571f2090db11%22	https://www.silverwingtechnologies.com/git/160120116002/assets/css/jpreloader.min.css	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/css/jpreloader.min.css	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:30	5204/5204	---M--	200	added ('OK')	text/css	etag:%224d623c9-1454-5571f20969005%22	https://www.silverwingtechnologies.com/git/160120116002/assets/css/magnific-popup.min.css	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/css/magnific-popup.min.css	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:31	52789/52789	---M--	200	added ('OK')	text/css	etag:%224d6242f-ce35-5571f206b2e71%22	https://www.silverwingtechnologies.com/git/160120116002/assets/css/animate.min.css	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/css/animate.min.css	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:31	4308/4308	---M--	200	added ('OK')	text/css	etag:%224d623ae-10d4-5571f2073c5af%22	https://www.silverwingtechnologies.com/git/160120116002/assets/css/flexslider.min.css	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/css/flexslider.min.css	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:32	4930/4930	---M--	200	added ('OK')	text/css	etag:%224d623ca-1342-5571f2098c66e%22	https://www.silverwingtechnologies.com/git/160120116002/assets/css/switch-style.css	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/css/switch-style.css	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:32	40690/40690	---M--	200	added ('OK')	text/css	etag:%224d623a8-9ef2-5571f206df94b%22	https://www.silverwingtechnologies.com/git/160120116002/assets/css/berg.min.css	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/css/berg.min.css	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:32	122246/122246	---M--	200	added ('OK')	text/css	etag:%224d623ab-1dd86-5571f2094422c%22	https://www.silverwingtechnologies.com/git/160120116002/assets/css/bootstrap.min.css	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/css/bootstrap.min.css	(from https://www.silverwingtechnologies.com/git/160120116002/)
